"SV_TAXONOMY","TAXONOMY_NAME","RG_REFERENCE","RG_NAME","SV_REFERENCE","SV_NAME","SV_DESCRIPTION","SL_REFERENCE","LC_REFERENCE","PHONE_NUMBER","WEBSITE","EMAIL_ADDRESS","WHEELCHAIR_ACCESSIBLE","LANGUAGE","HOURS","STREET_NUMBER","STREET_NAME","STREET_TYPE","STREET_DIRECTION","CITY","PROVINCE","POSTAL_CODE","LATITUDE","LONGITUDE","811_LINK"
"LD-1700","Emergency Room Care","17644351","Fraser Health Authority","17645045","Emergency Health Services","Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need.","17645055","17644460","","https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/",,"Y",,"24 hours a day, 7 days a week","7324 Hurd Street","","","","Mission","BC","V2V 3H5","49.135186","-122.331733","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644460"
"LD-1700","Emergency Room Care","17644351","Fraser Health Authority","17645045","Emergency Health Services","Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need.","17645056","17644418","","https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/",,"Y",,"24 hours a day, 7 days a week","15521 Russell Avenue","","","","White Rock","BC","V4B 2R4","49.029793","-122.793632","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644418"
"LD-1700","Emergency Room Care","17644351","Fraser Health Authority","17645045","Emergency Health Services","Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need.","17645057","17644361","","https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/",,"Y",,"24 hours a day, 7 days a week","5800 Mountain View Boulevard","","","","Delta","BC","V4K 3V6","49.084610","-123.059929","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644361"
"LD-1700","Emergency Room Care","17644351","Fraser Health Authority","17992341","Pediatric Emergency Department","Provides emergency medical care for children aged 17 and under in a child-friendly space separate from the adult emergency department. The department offers a family-centered approach including private treatment rooms to accommodate more family members, and a designated area for pediatric mental health patients. Located on the first floor of the critical care tower.","17992333","17644365","6045812211","https://www.fraserhealth.ca/Service-Directory/Services/child-and-youth-services/paediatric-emergency",,"Y",,"24 hours a day, 7 days a week","13750 96th Avenue","","","","Surrey","BC","V3V 1Z2","49.177003","-122.842316","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992341&SiteResourceAgencyNum=17644365"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647095","17646767","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"Mon 08:30 - 16:30; Tue 08:30 - 16:30; Wed 08:30 - 16:30; Thu 08:30 - 16:30; Fri 08:30 - 16:30;","4537 Barriere Town Road","","","","Barriere","BC","V0E 1E0","51.180406","-120.125113","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646767"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647097","17647096","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"24 hours a day, 7 days a week","98 Ridgewood Drive","","","","Princeton","BC","V0X 1W0","49.453436","-120.526235","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17647096"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647099","17647098","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"24 hours a day, 7 days a week","312 15th Avenue N","","","","Creston","BC","V0B 1G0","49.098702","-116.508309","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17647098"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647100","17646747","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"24 hours a day, 7 days a week","3451 Voght Street","","","","Merritt","BC","V1K 1C6","50.121468","-120.771016","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646747"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647102","17647101","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"24 hours a day, 7 days a week","911 McKinney Road","","","","Oliver","BC","V0H 1T3","49.184285","-119.538410","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17647101"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647104","17647103","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"24 hours a day, 7 days a week","850 10th Avenue","","","","Invermere","BC","V0A 1K0","50.506441","-116.032224","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17647103"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647106","17647105","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"24 hours a day, 7 days a week","835 9th Avenue S","","","","Golden","BC","V0A 1H0","51.296527","-116.966604","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17647105"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647107","17646582","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"24 hours a day, 7 days a week","550 Carmi Avenue","","","","Penticton","BC","V2A 3G6","49.482657","-119.578687","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646582"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647108","17646893","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"24 hours a day, 7 days a week","13 24th Avenue N","","","","Cranbrook","BC","V1C 3H9","49.512483","-115.748688","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646893"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647109","17646590","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"24 hours a day, 7 days a week","1501 5th Avenue","","","","Fernie","BC","V0B 1M0","49.512840","-115.056600","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646590"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647110","17646585","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"24 hours a day, 7 days a week","517 6th Avenue N","","","","Williams Lake","BC","V2G 2G8","52.137421","-122.143656","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646585"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647111","17646548","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"Open 24 hours a day, 7 days a week based on availability. Hours subject to change; call ahead before going to the hospital.","640 Park Drive","","","","Clearwater","BC","V0E 1N0","51.646945","-120.018229","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646548"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647112","17646943","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"24 hours a day, 7 days a week","951 Murray Street","","","","Lillooet","BC","V0K 1V0","50.689254","-121.939063","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646943"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647113","17646896","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"24 hours a day, 7 days a week","3 View Street","","","","Nelson","BC","V1L 2V1","49.495025","-117.284817","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646896"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647115","17646776","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"Mon 08:00 - 20:00; Tue 08:00 - 20:00; Wed 08:00 - 20:00; Thu 08:00 - 20:00; Fri 08:00 - 20:00; Sat 08:00 - 20:00; Sun 08:00 - 20:00; Drop-in and same-day appointments available.","700 Ash-Cache Creek Highway","","","","Ashcroft","BC","V0K 1A0","50.734772","-121.280163","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646776"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647116","17646849","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"24 hours a day, 7 days a week","555 Cedar Avenue S","","","","100 Mile House","BC","V0K 2E0","51.638711","-121.292384","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646849"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647117","17646569","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"24 hours a day, 7 days a week","1200 Newlands Road","","","","Revelstoke","BC","V0E 2S0","50.976799","-118.191902","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646569"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647119","17647118","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"24 hours a day, 7 days a week","601 10th Street NE","","","","Salmon Arm","BC","V1E 4N6","50.704586","-119.274422","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17647118"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647120","17647058","2504552221","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"","1535 St. Georges Road","","","","Lytton","BC","V0K 1Z0","50.261247","-121.593095","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17647058"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647121","17646772","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"Mon 08:00 - 19:00; Tue 08:00 - 19:00; Wed 08:00 - 19:00; Thu 08:00 - 19:00; Fri 08:00 - 19:00; Sat 08:00 - 19:00; Sun 08:00 - 19:00;","570 Pine Avenue","","","","Sparwood","BC","V0B 2G0","49.721453","-114.892672","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646772"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647122","17646810","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"Mon 08:00 - 20:00; Tue 08:00 - 20:00; Wed 08:00 - 20:00; Thu 08:00 - 20:00; Fri 08:00 - 20:00; Sat 08:00 - 20:00; Sun 08:00 - 20:00;","709 10th Street","","","","Castlegar","BC","V1N 2H7","49.314395","-117.659998","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646810"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647123","17646627","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"Mon 09:00 - 17:00; Tue 09:00 - 17:00; Wed 09:00 - 17:00; Thu 09:00 - 17:00; Fri 09:00 - 17:00; Sat 09:00 - 17:00; Sun 09:00 - 17:00; Closed statutory holidays","673 A Avenue","","","","Kaslo","BC","V0G 1M0","49.913883","-116.914089","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646627"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647124","17646553","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"24 hours a day, 7 days a week","97 1st Avenue NE","","","","Nakusp","BC","V0G 1R0","50.238724","-117.794638","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646553"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647125","17646738","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"24 hours a day, 7 days a week","2268 Pandosy Street","","","","Kelowna","BC","V1Y 1T2","49.873281","-119.491273","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646738"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647126","17646551","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"24 hours a day, 7 days a week","1200 Hospital Bench","","","","Trail","BC","V1R 4M1","49.103180","-117.701470","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646551"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647127","17646580","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"24 hours a day, 7 days a week","2101 32nd Street","","","","Vernon","BC","V1T 5L2","50.256925","-119.273751","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646580"
"LD-1700","Emergency Room Care","17646543","Interior Health Authority","17647094","Emergency Health Services","Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. 	 Hours may vary, or be subject to change, in rural communities. 	 	 Individuals are encouraged to call ahead to confirm services will be available upon their arrival.","17647128","17646898","","https://www.interiorhealth.ca/services/emergency-health-services",,"Y",,"24 hours a day, 7 days a week","311 Columbia Street","","","","Kamloops","BC","V2C 2T1","50.671418","-120.334025","http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646898"
